  0.500  0.500  0.500
  1.50  1.50  0.500
  0.500  1.50  1.50
  1.50  0.500  1.50
  0.500  3.50  3.50
  1.50  3.50  2.50
  1.50  2.50  3.50
  0.500  2.50  2.50
  2.50  1.50  3.50
  3.50  0.500  3.50
  3.50  1.50  2.50
  2.50  0.500  2.50
  2.50  3.50  1.50
  3.50  2.50  1.50
  3.50  3.50  0.500
  2.50  2.50  0.500
  0.500  0.500  4.50
  1.50  1.50  4.50
  0.500  1.50  5.50
  1.50  0.500  5.50
  0.500  3.50  7.50
  1.50  3.50  6.50
  1.50  2.50  7.50
  0.500  2.50  6.50
  2.50  1.50  7.50
  3.50  0.500  7.50
  3.50  1.50  6.50
  2.50  0.500  6.50
  2.50  3.50  5.50
  3.50  2.50  5.50
  3.50  3.50  4.50
  2.50  2.50  4.50
  0.500  0.500  8.50
  1.50  1.50  8.50
  0.500  1.50  9.50
  1.50  0.500  9.50
  0.500  3.50  11.5
  1.50  3.50  10.5
  1.50  2.50  11.5
  0.500  2.50  10.5
  2.50  1.50  11.5
  3.50  0.500  11.5
  3.50  1.50  10.5
  2.50  0.500  10.5
  2.50  3.50  9.50
  3.50  2.50  9.50
  3.50  3.50  8.50
  2.50  2.50  8.50
  0.500  0.500  12.5
  1.50  1.50  12.5
  0.500  1.50  13.5
  1.50  0.500  13.5
  0.500  3.50  15.5
  1.50  3.50  14.5
  1.50  2.50  15.5
  0.500  2.50  14.5
  2.50  1.50  15.5
  3.50  0.500  15.5
  3.50  1.50  14.5
  2.50  0.500  14.5
  2.50  3.50  13.5
  3.50  2.50  13.5
  3.50  3.50  12.5
  2.50  2.50  12.5
  0.500  4.50  0.500
  1.50  5.50  0.500
  0.500  5.50  1.50
  1.50  4.50  1.50
  0.500  7.50  3.50
  1.50  7.50  2.50
  1.50  6.50  3.50
  0.500  6.50  2.50
  2.50  5.50  3.50
  3.50  4.50  3.50
  3.50  5.50  2.50
  2.50  4.50  2.50
  2.50  7.50  1.50
  3.50  6.50  1.50
  3.50  7.50  0.500
  2.50  6.50  0.500
  0.500  4.50  4.50
  1.50  5.50  4.50
  0.500  5.50  5.50
  1.50  4.50  5.50
  0.500  7.50  7.50
  1.50  7.50  6.50
  1.50  6.50  7.50
  0.500  6.50  6.50
  2.50  5.50  7.50
  3.50  4.50  7.50
  3.50  5.50  6.50
  2.50  4.50  6.50
  2.50  7.50  5.50
  3.50  6.50  5.50
  3.50  7.50  4.50
  2.50  6.50  4.50
  0.500  4.50  8.50
  1.50  5.50  8.50
  0.500  5.50  9.50
  1.50  4.50  9.50
  0.500  7.50  11.5
  1.50  7.50  10.5
  1.50  6.50  11.5
  0.500  6.50  10.5
  2.50  5.50  11.5
  3.50  4.50  11.5
  3.50  5.50  10.5
  2.50  4.50  10.5
  2.50  7.50  9.50
  3.50  6.50  9.50
  3.50  7.50  8.50
  2.50  6.50  8.50
  0.500  4.50  12.5
  1.50  5.50  12.5
  0.500  5.50  13.5
  1.50  4.50  13.5
  0.500  7.50  15.5
  1.50  7.50  14.5
  1.50  6.50  15.5
  0.500  6.50  14.5
  2.50  5.50  15.5
  3.50  4.50  15.5
  3.50  5.50  14.5
  2.50  4.50  14.5
  2.50  7.50  13.5
  3.50  6.50  13.5
  3.50  7.50  12.5
  2.50  6.50  12.5
  0.500  8.50  0.500
  1.50  9.50  0.500
  0.500  9.50  1.50
  1.50  8.50  1.50
  0.500  11.5  3.50
  1.50  11.5  2.50
  1.50  10.5  3.50
  0.500  10.5  2.50
  2.50  9.50  3.50
  3.50  8.50  3.50
  3.50  9.50  2.50
  2.50  8.50  2.50
  2.50  11.5  1.50
  3.50  10.5  1.50
  3.50  11.5  0.500
  2.50  10.5  0.500
  0.500  8.50  4.50
  1.50  9.50  4.50
  0.500  9.50  5.50
  1.50  8.50  5.50
  0.500  11.5  7.50
  1.50  11.5  6.50
  1.50  10.5  7.50
  0.500  10.5  6.50
  2.50  9.50  7.50
  3.50  8.50  7.50
  3.50  9.50  6.50
  2.50  8.50  6.50
  2.50  11.5  5.50
  3.50  10.5  5.50
  3.50  11.5  4.50
  2.50  10.5  4.50
  0.500  8.50  8.50
  1.50  9.50  8.50
  0.500  9.50  9.50
  1.50  8.50  9.50
  0.500  11.5  11.5
  1.50  11.5  10.5
  1.50  10.5  11.5
  0.500  10.5  10.5
  2.50  9.50  11.5
  3.50  8.50  11.5
  3.50  9.50  10.5
  2.50  8.50  10.5
  2.50  11.5  9.50
  3.50  10.5  9.50
  3.50  11.5  8.50
  2.50  10.5  8.50
  0.500  8.50  12.5
  1.50  9.50  12.5
  0.500  9.50  13.5
  1.50  8.50  13.5
  0.500  11.5  15.5
  1.50  11.5  14.5
  1.50  10.5  15.5
  0.500  10.5  14.5
  2.50  9.50  15.5
  3.50  8.50  15.5
  3.50  9.50  14.5
  2.50  8.50  14.5
  2.50  11.5  13.5
  3.50  10.5  13.5
  3.50  11.5  12.5
  2.50  10.5  12.5
  0.500  12.5  0.500
  1.50  13.5  0.500
  0.500  13.5  1.50
  1.50  12.5  1.50
  0.500  15.5  3.50
  1.50  15.5  2.50
  1.50  14.5  3.50
  0.500  14.5  2.50
  2.50  13.5  3.50
  3.50  12.5  3.50
  3.50  13.5  2.50
  2.50  12.5  2.50
  2.50  15.5  1.50
  3.50  14.5  1.50
  3.50  15.5  0.500
  2.50  14.5  0.500
  0.500  12.5  4.50
  1.50  13.5  4.50
  0.500  13.5  5.50
  1.50  12.5  5.50
  0.500  15.5  7.50
  1.50  15.5  6.50
  1.50  14.5  7.50
  0.500  14.5  6.50
  2.50  13.5  7.50
  3.50  12.5  7.50
  3.50  13.5  6.50
  2.50  12.5  6.50
  2.50  15.5  5.50
  3.50  14.5  5.50
  3.50  15.5  4.50
  2.50  14.5  4.50
  0.500  12.5  8.50
  1.50  13.5  8.50
  0.500  13.5  9.50
  1.50  12.5  9.50
  0.500  15.5  11.5
  1.50  15.5  10.5
  1.50  14.5  11.5
  0.500  14.5  10.5
  2.50  13.5  11.5
  3.50  12.5  11.5
  3.50  13.5  10.5
  2.50  12.5  10.5
  2.50  15.5  9.50
  3.50  14.5  9.50
  3.50  15.5  8.50
  2.50  14.5  8.50
  0.500  12.5  12.5
  1.50  13.5  12.5
  0.500  13.5  13.5
  1.50  12.5  13.5
  0.500  15.5  15.5
  1.50  15.5  14.5
  1.50  14.5  15.5
  0.500  14.5  14.5
  2.50  13.5  15.5
  3.50  12.5  15.5
  3.50  13.5  14.5
  2.50  12.5  14.5
  2.50  15.5  13.5
  3.50  14.5  13.5
  3.50  15.5  12.5
  2.50  14.5  12.5
  4.50  0.500  0.500
  5.50  1.50  0.500
  4.50  1.50  1.50
  5.50  0.500  1.50
  4.50  3.50  3.50
  5.50  3.50  2.50
  5.50  2.50  3.50
  4.50  2.50  2.50
  6.50  1.50  3.50
  7.50  0.500  3.50
  7.50  1.50  2.50
  6.50  0.500  2.50
  6.50  3.50  1.50
  7.50  2.50  1.50
  7.50  3.50  0.500
  6.50  2.50  0.500
  4.50  0.500  4.50
  5.50  1.50  4.50
  4.50  1.50  5.50
  5.50  0.500  5.50
  4.50  3.50  7.50
  5.50  3.50  6.50
  5.50  2.50  7.50
  4.50  2.50  6.50
  6.50  1.50  7.50
  7.50  0.500  7.50
  7.50  1.50  6.50
  6.50  0.500  6.50
  6.50  3.50  5.50
  7.50  2.50  5.50
  7.50  3.50  4.50
  6.50  2.50  4.50
  4.50  0.500  8.50
  5.50  1.50  8.50
  4.50  1.50  9.50
  5.50  0.500  9.50
  4.50  3.50  11.5
  5.50  3.50  10.5
  5.50  2.50  11.5
  4.50  2.50  10.5
  6.50  1.50  11.5
  7.50  0.500  11.5
  7.50  1.50  10.5
  6.50  0.500  10.5
  6.50  3.50  9.50
  7.50  2.50  9.50
  7.50  3.50  8.50
  6.50  2.50  8.50
  4.50  0.500  12.5
  5.50  1.50  12.5
  4.50  1.50  13.5
  5.50  0.500  13.5
  4.50  3.50  15.5
  5.50  3.50  14.5
  5.50  2.50  15.5
  4.50  2.50  14.5
  6.50  1.50  15.5
  7.50  0.500  15.5
  7.50  1.50  14.5
  6.50  0.500  14.5
  6.50  3.50  13.5
  7.50  2.50  13.5
  7.50  3.50  12.5
  6.50  2.50  12.5
  4.50  4.50  0.500
  5.50  5.50  0.500
  4.50  5.50  1.50
  5.50  4.50  1.50
  4.50  7.50  3.50
  5.50  7.50  2.50
  5.50  6.50  3.50
  4.50  6.50  2.50
  6.50  5.50  3.50
  7.50  4.50  3.50
  7.50  5.50  2.50
  6.50  4.50  2.50
  6.50  7.50  1.50
  7.50  6.50  1.50
  7.50  7.50  0.500
  6.50  6.50  0.500
  4.50  4.50  4.50
  5.50  5.50  4.50
  4.50  5.50  5.50
  5.50  4.50  5.50
  4.50  7.50  7.50
  5.50  7.50  6.50
  5.50  6.50  7.50
  4.50  6.50  6.50
  6.50  5.50  7.50
  7.50  4.50  7.50
  7.50  5.50  6.50
  6.50  4.50  6.50
  6.50  7.50  5.50
  7.50  6.50  5.50
  7.50  7.50  4.50
  6.50  6.50  4.50
  4.50  4.50  8.50
  5.50  5.50  8.50
  4.50  5.50  9.50
  5.50  4.50  9.50
  4.50  7.50  11.5
  5.50  7.50  10.5
  5.50  6.50  11.5
  4.50  6.50  10.5
  6.50  5.50  11.5
  7.50  4.50  11.5
  7.50  5.50  10.5
  6.50  4.50  10.5
  6.50  7.50  9.50
  7.50  6.50  9.50
  7.50  7.50  8.50
  6.50  6.50  8.50
  4.50  4.50  12.5
  5.50  5.50  12.5
  4.50  5.50  13.5
  5.50  4.50  13.5
  4.50  7.50  15.5
  5.50  7.50  14.5
  5.50  6.50  15.5
  4.50  6.50  14.5
  6.50  5.50  15.5
  7.50  4.50  15.5
  7.50  5.50  14.5
  6.50  4.50  14.5
  6.50  7.50  13.5
  7.50  6.50  13.5
  7.50  7.50  12.5
  6.50  6.50  12.5
  4.50  8.50  0.500
  5.50  9.50  0.500
  4.50  9.50  1.50
  5.50  8.50  1.50
  4.50  11.5  3.50
  5.50  11.5  2.50
  5.50  10.5  3.50
  4.50  10.5  2.50
  6.50  9.50  3.50
  7.50  8.50  3.50
  7.50  9.50  2.50
  6.50  8.50  2.50
  6.50  11.5  1.50
  7.50  10.5  1.50
  7.50  11.5  0.500
  6.50  10.5  0.500
  4.50  8.50  4.50
  5.50  9.50  4.50
  4.50  9.50  5.50
  5.50  8.50  5.50
  4.50  11.5  7.50
  5.50  11.5  6.50
  5.50  10.5  7.50
  4.50  10.5  6.50
  6.50  9.50  7.50
  7.50  8.50  7.50
  7.50  9.50  6.50
  6.50  8.50  6.50
  6.50  11.5  5.50
  7.50  10.5  5.50
  7.50  11.5  4.50
  6.50  10.5  4.50
  4.50  8.50  8.50
  5.50  9.50  8.50
  4.50  9.50  9.50
  5.50  8.50  9.50
  4.50  11.5  11.5
  5.50  11.5  10.5
  5.50  10.5  11.5
  4.50  10.5  10.5
  6.50  9.50  11.5
  7.50  8.50  11.5
  7.50  9.50  10.5
  6.50  8.50  10.5
  6.50  11.5  9.50
  7.50  10.5  9.50
  7.50  11.5  8.50
  6.50  10.5  8.50
  4.50  8.50  12.5
  5.50  9.50  12.5
  4.50  9.50  13.5
  5.50  8.50  13.5
  4.50  11.5  15.5
  5.50  11.5  14.5
  5.50  10.5  15.5
  4.50  10.5  14.5
  6.50  9.50  15.5
  7.50  8.50  15.5
  7.50  9.50  14.5
  6.50  8.50  14.5
  6.50  11.5  13.5
  7.50  10.5  13.5
  7.50  11.5  12.5
  6.50  10.5  12.5
  4.50  12.5  0.500
  5.50  13.5  0.500
  4.50  13.5  1.50
  5.50  12.5  1.50
  4.50  15.5  3.50
  5.50  15.5  2.50
  5.50  14.5  3.50
  4.50  14.5  2.50
  6.50  13.5  3.50
  7.50  12.5  3.50
  7.50  13.5  2.50
  6.50  12.5  2.50
  6.50  15.5  1.50
  7.50  14.5  1.50
  7.50  15.5  0.500
  6.50  14.5  0.500
  4.50  12.5  4.50
  5.50  13.5  4.50
  4.50  13.5  5.50
  5.50  12.5  5.50
  4.50  15.5  7.50
  5.50  15.5  6.50
  5.50  14.5  7.50
  4.50  14.5  6.50
  6.50  13.5  7.50
  7.50  12.5  7.50
  7.50  13.5  6.50
  6.50  12.5  6.50
  6.50  15.5  5.50
  7.50  14.5  5.50
  7.50  15.5  4.50
  6.50  14.5  4.50
  4.50  12.5  8.50
  5.50  13.5  8.50
  4.50  13.5  9.50
  5.50  12.5  9.50
  4.50  15.5  11.5
  5.50  15.5  10.5
  5.50  14.5  11.5
  4.50  14.5  10.5
  6.50  13.5  11.5
  7.50  12.5  11.5
  7.50  13.5  10.5
  6.50  12.5  10.5
  6.50  15.5  9.50
  7.50  14.5  9.50
  7.50  15.5  8.50
  6.50  14.5  8.50
  4.50  12.5  12.5
  5.50  13.5  12.5
  4.50  13.5  13.5
  5.50  12.5  13.5
  4.50  15.5  15.5
  5.50  15.5  14.5
  5.50  14.5  15.5
  4.50  14.5  14.5
  6.50  13.5  15.5
  7.50  12.5  15.5
  7.50  13.5  14.5
  6.50  12.5  14.5
  6.50  15.5  13.5
  7.50  14.5  13.5
  7.50  15.5  12.5
  6.50  14.5  12.5
  8.50  0.500  0.500
  9.50  1.50  0.500
  8.50  1.50  1.50
  9.50  0.500  1.50
  8.50  3.50  3.50
  9.50  3.50  2.50
  9.50  2.50  3.50
  8.50  2.50  2.50
  10.5  1.50  3.50
  11.5  0.500  3.50
  11.5  1.50  2.50
  10.5  0.500  2.50
  10.5  3.50  1.50
  11.5  2.50  1.50
  11.5  3.50  0.500
  10.5  2.50  0.500
  8.50  0.500  4.50
  9.50  1.50  4.50
  8.50  1.50  5.50
  9.50  0.500  5.50
  8.50  3.50  7.50
  9.50  3.50  6.50
  9.50  2.50  7.50
  8.50  2.50  6.50
  10.5  1.50  7.50
  11.5  0.500  7.50
  11.5  1.50  6.50
  10.5  0.500  6.50
  10.5  3.50  5.50
  11.5  2.50  5.50
  11.5  3.50  4.50
  10.5  2.50  4.50
  8.50  0.500  8.50
  9.50  1.50  8.50
  8.50  1.50  9.50
  9.50  0.500  9.50
  8.50  3.50  11.5
  9.50  3.50  10.5
  9.50  2.50  11.5
  8.50  2.50  10.5
  10.5  1.50  11.5
  11.5  0.500  11.5
  11.5  1.50  10.5
  10.5  0.500  10.5
  10.5  3.50  9.50
  11.5  2.50  9.50
  11.5  3.50  8.50
  10.5  2.50  8.50
  8.50  0.500  12.5
  9.50  1.50  12.5
  8.50  1.50  13.5
  9.50  0.500  13.5
  8.50  3.50  15.5
  9.50  3.50  14.5
  9.50  2.50  15.5
  8.50  2.50  14.5
  10.5  1.50  15.5
  11.5  0.500  15.5
  11.5  1.50  14.5
  10.5  0.500  14.5
  10.5  3.50  13.5
  11.5  2.50  13.5
  11.5  3.50  12.5
  10.5  2.50  12.5
  8.50  4.50  0.500
  9.50  5.50  0.500
  8.50  5.50  1.50
  9.50  4.50  1.50
  8.50  7.50  3.50
  9.50  7.50  2.50
  9.50  6.50  3.50
  8.50  6.50  2.50
  10.5  5.50  3.50
  11.5  4.50  3.50
  11.5  5.50  2.50
  10.5  4.50  2.50
  10.5  7.50  1.50
  11.5  6.50  1.50
  11.5  7.50  0.500
  10.5  6.50  0.500
  8.50  4.50  4.50
  9.50  5.50  4.50
  8.50  5.50  5.50
  9.50  4.50  5.50
  8.50  7.50  7.50
  9.50  7.50  6.50
  9.50  6.50  7.50
  8.50  6.50  6.50
  10.5  5.50  7.50
  11.5  4.50  7.50
  11.5  5.50  6.50
  10.5  4.50  6.50
  10.5  7.50  5.50
  11.5  6.50  5.50
  11.5  7.50  4.50
  10.5  6.50  4.50
  8.50  4.50  8.50
  9.50  5.50  8.50
  8.50  5.50  9.50
  9.50  4.50  9.50
  8.50  7.50  11.5
  9.50  7.50  10.5
  9.50  6.50  11.5
  8.50  6.50  10.5
  10.5  5.50  11.5
  11.5  4.50  11.5
  11.5  5.50  10.5
  10.5  4.50  10.5
  10.5  7.50  9.50
  11.5  6.50  9.50
  11.5  7.50  8.50
  10.5  6.50  8.50
  8.50  4.50  12.5
  9.50  5.50  12.5
  8.50  5.50  13.5
  9.50  4.50  13.5
  8.50  7.50  15.5
  9.50  7.50  14.5
  9.50  6.50  15.5
  8.50  6.50  14.5
  10.5  5.50  15.5
  11.5  4.50  15.5
  11.5  5.50  14.5
  10.5  4.50  14.5
  10.5  7.50  13.5
  11.5  6.50  13.5
  11.5  7.50  12.5
  10.5  6.50  12.5
  8.50  8.50  0.500
  9.50  9.50  0.500
  8.50  9.50  1.50
  9.50  8.50  1.50
  8.50  11.5  3.50
  9.50  11.5  2.50
  9.50  10.5  3.50
  8.50  10.5  2.50
  10.5  9.50  3.50
  11.5  8.50  3.50
  11.5  9.50  2.50
  10.5  8.50  2.50
  10.5  11.5  1.50
  11.5  10.5  1.50
  11.5  11.5  0.500
  10.5  10.5  0.500
  8.50  8.50  4.50
  9.50  9.50  4.50
  8.50  9.50  5.50
  9.50  8.50  5.50
  8.50  11.5  7.50
  9.50  11.5  6.50
  9.50  10.5  7.50
  8.50  10.5  6.50
  10.5  9.50  7.50
  11.5  8.50  7.50
  11.5  9.50  6.50
  10.5  8.50  6.50
  10.5  11.5  5.50
  11.5  10.5  5.50
  11.5  11.5  4.50
  10.5  10.5  4.50
  8.50  8.50  8.50
  9.50  9.50  8.50
  8.50  9.50  9.50
  9.50  8.50  9.50
  8.50  11.5  11.5
  9.50  11.5  10.5
  9.50  10.5  11.5
  8.50  10.5  10.5
  10.5  9.50  11.5
  11.5  8.50  11.5
  11.5  9.50  10.5
  10.5  8.50  10.5
  10.5  11.5  9.50
  11.5  10.5  9.50
  11.5  11.5  8.50
  10.5  10.5  8.50
  8.50  8.50  12.5
  9.50  9.50  12.5
  8.50  9.50  13.5
  9.50  8.50  13.5
  8.50  11.5  15.5
  9.50  11.5  14.5
  9.50  10.5  15.5
  8.50  10.5  14.5
  10.5  9.50  15.5
  11.5  8.50  15.5
  11.5  9.50  14.5
  10.5  8.50  14.5
  10.5  11.5  13.5
  11.5  10.5  13.5
  11.5  11.5  12.5
  10.5  10.5  12.5
  8.50  12.5  0.500
  9.50  13.5  0.500
  8.50  13.5  1.50
  9.50  12.5  1.50
  8.50  15.5  3.50
  9.50  15.5  2.50
  9.50  14.5  3.50
  8.50  14.5  2.50
  10.5  13.5  3.50
  11.5  12.5  3.50
  11.5  13.5  2.50
  10.5  12.5  2.50
  10.5  15.5  1.50
  11.5  14.5  1.50
  11.5  15.5  0.500
  10.5  14.5  0.500
  8.50  12.5  4.50
  9.50  13.5  4.50
  8.50  13.5  5.50
  9.50  12.5  5.50
  8.50  15.5  7.50
  9.50  15.5  6.50
  9.50  14.5  7.50
  8.50  14.5  6.50
  10.5  13.5  7.50
  11.5  12.5  7.50
  11.5  13.5  6.50
  10.5  12.5  6.50
  10.5  15.5  5.50
  11.5  14.5  5.50
  11.5  15.5  4.50
  10.5  14.5  4.50
  8.50  12.5  8.50
  9.50  13.5  8.50
  8.50  13.5  9.50
  9.50  12.5  9.50
  8.50  15.5  11.5
  9.50  15.5  10.5
  9.50  14.5  11.5
  8.50  14.5  10.5
  10.5  13.5  11.5
  11.5  12.5  11.5
  11.5  13.5  10.5
  10.5  12.5  10.5
  10.5  15.5  9.50
  11.5  14.5  9.50
  11.5  15.5  8.50
  10.5  14.5  8.50
  8.50  12.5  12.5
  9.50  13.5  12.5
  8.50  13.5  13.5
  9.50  12.5  13.5
  8.50  15.5  15.5
  9.50  15.5  14.5
  9.50  14.5  15.5
  8.50  14.5  14.5
  10.5  13.5  15.5
  11.5  12.5  15.5
  11.5  13.5  14.5
  10.5  12.5  14.5
  10.5  15.5  13.5
  11.5  14.5  13.5
  11.5  15.5  12.5
  10.5  14.5  12.5
  12.5  0.500  0.500
  13.5  1.50  0.500
  12.5  1.50  1.50
  13.5  0.500  1.50
  12.5  3.50  3.50
  13.5  3.50  2.50
  13.5  2.50  3.50
  12.5  2.50  2.50
  14.5  1.50  3.50
  15.5  0.500  3.50
  15.5  1.50  2.50
  14.5  0.500  2.50
  14.5  3.50  1.50
  15.5  2.50  1.50
  15.5  3.50  0.500
  14.5  2.50  0.500
  12.5  0.500  4.50
  13.5  1.50  4.50
  12.5  1.50  5.50
  13.5  0.500  5.50
  12.5  3.50  7.50
  13.5  3.50  6.50
  13.5  2.50  7.50
  12.5  2.50  6.50
  14.5  1.50  7.50
  15.5  0.500  7.50
  15.5  1.50  6.50
  14.5  0.500  6.50
  14.5  3.50  5.50
  15.5  2.50  5.50
  15.5  3.50  4.50
  14.5  2.50  4.50
  12.5  0.500  8.50
  13.5  1.50  8.50
  12.5  1.50  9.50
  13.5  0.500  9.50
  12.5  3.50  11.5
  13.5  3.50  10.5
  13.5  2.50  11.5
  12.5  2.50  10.5
  14.5  1.50  11.5
  15.5  0.500  11.5
  15.5  1.50  10.5
  14.5  0.500  10.5
  14.5  3.50  9.50
  15.5  2.50  9.50
  15.5  3.50  8.50
  14.5  2.50  8.50
  12.5  0.500  12.5
  13.5  1.50  12.5
  12.5  1.50  13.5
  13.5  0.500  13.5
  12.5  3.50  15.5
  13.5  3.50  14.5
